year	orgnr	organisasjon_navn	medlemmer
"2011"	"971264322"	"Filadelfia Fosser"	"76"
"2012"	"971264322"	"Filadelfia Fosser"	"75"
"2013"	"971264322"	"Filadelfia Fosser"	"78"
"2014"	"971264322"	"Filadelfia Fosser"	"77"
"2015"	"971264322"	"Filadelfia Fosser"	"95"
"2016"	"971264322"	"Filadelfia Fosser"	"86"
"2017"	"971264322"	"Filadelfia Fosser"	"94"
"2010"	"971266244"	"Salemkirken Lørenskog"	"143"
"2011"	"971266244"	"Salemkirken Lørenskog"	"139"
"2012"	"971266244"	"Salemkirken Lørenskog"	"141"
"2013"	"971266244"	"Salemkirken Lørenskog"	"154"
"2014"	"971266244"	"Salemkirken Lørenskog"	"156"
"2015"	"971266244"	"Salemkirken Lørenskog"	"152"
"2016"	"971266244"	"Salemkirken Lørenskog"	"152"
"2017"	"971266244"	"Salemkirken Lørenskog"	"146"
"2010"	"971270691"	"Evangeliehuset"	"78"
"2011"	"971270691"	"Evangeliehuset"	"75"
"2012"	"971270691"	"Evangeliehuset"	"68"
"2013"	"971270691"	"Evangeliehuset"	"69"
"2014"	"971270691"	"Evangeliehuset"	"98"
"2015"	"971270691"	"Evangeliehuset"	"116"
"2016"	"971270691"	"Evangeliehuset"	"122"
"2017"	"971270691"	"Evangeliehuset"	"139"
"2010"	"971278315"	"Den Ortodokse Kirke i Norge - Hellige Nikolai Menighet"	"904"
"2011"	"971278315"	"Den Ortodokse Kirke i Norge - Hellige Nikolai Menighet"	"933"
"2012"	"971278315"	"Den Ortodokse Kirke i Norge - Hellige Nikolai Menighet"	"988"
"2013"	"971278315"	"Den Ortodokse Kirke i Norge - Hellige Nikolai Menighet"	"1020"
"2014"	"971278315"	"Den Ortodokse Kirke i Norge - Hellige Nikolai Menighet"	"1039"
"2015"	"971278315"	"Den Ortodokse Kirke i Norge - Hellige Nikolai Menighet"	"1047"
"2016"	"971278315"	"Den Ortodokse Kirke i Norge - Hellige Nikolai Menighet"	"1087"
"2017"	"971278315"	"Den Ortodokse Kirke i Norge - Hellige Nikolai Menighet"	"997"
"2010"	"971279354"	"Ghousia Muslim Society"	"1463"
"2011"	"971279354"	"Ghousia Muslim Society"	"1369"
"2012"	"971279354"	"Ghousia Muslim Society"	"1356"
"2013"	"971279354"	"Ghousia Muslim Society"	"1356"
"2014"	"971279354"	"Ghousia Muslim Society"	"1282"
"2015"	"971279354"	"Ghousia Muslim Society"	"1236"
"2016"	"971279354"	"Ghousia Muslim Society"	"1251"
"2017"	"971279354"	"Ghousia Muslim Society"	"1320"
"2010"	"971279621"	"Naqushband Bazim E"	"554"
"2011"	"971279621"	"Naqushband Bazim E"	"586"
"2012"	"971279621"		"—"
"2013"	"971279621"	"Naqushband Bazim E"	"608"
"2014"	"971279621"	"Naqushband Bazim E"	"578"
"2015"	"971279621"	"Naqushband Bazim E"	"587"
"2016"	"971279621"	"Naqushband Bazim E"	"584"
"2017"	"971279621"	"Naqushband Bazim E"	"564"
"2010"	"971279990"	"Den Tyrkisk Islamske Union"	"2552"
"2011"	"971279990"	"Den Tyrkisk Islamske Union"	"2603"
"2012"	"971279990"	"Den Tyrkisk Islamske Union"	"2732"
"2013"	"971279990"	"Den Tyrkisk Islamske Union"	"2862"
"2014"	"971279990"	"Den Tyrkisk Islamske Union"	"2977"
"2015"	"971279990"	"Den Tyrkisk Islamske Union"	"3094"
"2016"	"971279990"	"Den Tyrkisk Islamske Union"	"3233"
"2017"	"971279990"		"—"
"2010"	"971280301"	"Minhaj Ul Quran International Norway"	"2637"
"2011"	"971280301"	"Minhaj Ul Quran International Norway"	"3024"
"2012"	"971280301"	"Minhaj Ul Quran International Norway"	"2921"
"2013"	"971280301"	"Minhaj Ul Quran International Norway"	"2733"
"2014"	"971280301"	"Minhaj Ul Quran International Norway"	"2693"
"2015"	"971280301"	"Minhaj Ul Quran International Norway"	"2811"
"2016"	"971280301"	"Minhaj Ul Quran International Norway"	"2766"
"2017"	"971280301"	"Minhaj Ul Quran International Norway"	"2897"
"2010"	"971285516"	"Oslo Vineyard Kristne Fellesskap"	"269"
"2011"	"971285516"	"Oslo Vineyard Kristne Fellesskap"	"275"
"2012"	"971285516"	"Oslo Vineyard Kristne Fellesskap"	"0"
"2013"	"971285516"	"Oslo Vineyard Kristne Fellesskap"	"263"
"2014"	"971285516"	"Oslo Vineyard Kristne Fellesskap"	"268"
"2015"	"971285516"	"Oslo Vineyard Kristne Fellesskap"	"271"
"2016"	"971285516"	"Oslo Vineyard Kristne Fellesskap"	"284"
"2017"	"971285516"	"Oslo Vineyard Kristne Fellesskap"	"279"
"2010"	"971288981"	"Stiftelsen Nettverkskirken"	"76"
"2011"	"971288981"	"Stiftelsen Nettverkskirken"	"73"
"2012"	"971288981"		"—"
"2013"	"971288981"	"Stiftelsen Nettverkskirken"	"73"
"2014"	"971288981"	"Stiftelsen Nettverkskirken"	"73"
"2015"	"971288981"	"Stiftelsen Nettverkskirken"	"78"
"2016"	"971288981"	"Stiftelsen Nettverkskirken"	"78"
"2017"	"971288981"	"Stiftelsen Nettverkskirken"	"73"
"2010"	"971292113"	"Hedmark Misjonsenter"	"26"
"2011"	"971292113"	"Hedmark Misjonsenter"	"33"
"2012"	"971292113"	"Hedmark Misjonsenter"	"34"
"2013"	"971292113"	"Hedmark Misjonsenter"	"30"
"2014"	"971292113"	"Hedmark Misjonsenter"	"28"
"2015"	"971292113"	"Hedmark Misjonsenter"	"19"
"2016"	"971292113"	"Hedmark Misjonsenter"	"15"
"2017"	"971292113"	"Hedmark Misjonsenter"	"5"
"2010"	"971294434"	"Betania Eidskog"	"92"
"2011"	"971294434"	"Betania Eidskog"	"89"
"2012"	"971294434"	"Betania Eidskog"	"89"
"2013"	"971294434"	"Betania Eidskog"	"89"
"2014"	"971294434"	"Betania Eidskog"	"88"
"2015"	"971294434"	"Betania Eidskog"	"90"
"2016"	"971294434"	"Betania Eidskog"	"90"
"2017"	"971294434"	"Betania Eidskog"	"85"
"2010"	"971295899"	"Menigheten i Betania"	"63"
"2011"	"971295899"	"Menigheten i Betania"	"62"
"2012"	"971295899"	"Menigheten i Betania"	"61"
"2013"	"971295899"	"Menigheten i Betania"	"59"
"2014"	"971295899"	"Menigheten i Betania"	"58"
"2015"	"971295899"	"Menigheten i Betania"	"57"
"2016"	"971295899"	"Menigheten i Betania"	"57"
"2017"	"971295899"	"Menigheten i Betania"	"54"
"2010"	"971304561"	"Betel Pinsemenighet"	"24"
"2011"	"971304561"	"Betel Pinsemenighet"	"21"
"2012"	"971304561"	"Betel Pinsemenighet"	"21"
"2013"	"971304561"	"Betel Pinsemenighet"	"19"
"2014"	"971304561"	"Betel Pinsemenighet"	"18"
"2015"	"971304561"	"Betel Pinsemenighet"	"23"
"2016"	"971304561"	"Betel Pinsemenighet"	"22"
"2017"	"971304561"	"Betel Pinsemenighet"	"22"
"2010"	"971307315"	"Minhaj Ul Quran International Drammen"	"644"
"2011"	"971307315"	"Minhaj Ul Quran International Drammen"	"550"
"2012"	"971307315"	"Minhaj Ul Quran International Drammen"	"562"
"2013"	"971307315"	"Minhaj Ul Quran International Drammen"	"554"
"2014"	"971307315"	"Minhaj Ul Quran International Drammen"	"626"
"2015"	"971307315"	"Minhaj Ul Quran International Drammen"	"617"
"2016"	"971307315"	"Minhaj Ul Quran International Drammen"	"653"
"2017"	"971307315"	"Drammen Moské"	"633"
"2010"	"971307323"	"Det Islamske Kultursenter i Drammen"	"1246"
"2011"	"971307323"	"Det Islamske Kultursenter i Drammen"	"1254"
"2012"	"971307323"	"Det Islamske Kultursenter i Drammen"	"1276"
"2013"	"971307323"	"Det Islamske Kultursenter i Drammen"	"1308"
"2014"	"971307323"	"Det Islamske Kultursenter i Drammen"	"1394"
"2015"	"971307323"	"Det Islamske Kultursenter i Drammen"	"1347"
"2016"	"971307323"	"Det Islamske Kultursenter i Drammen"	"1344"
"2017"	"971307323"	"Det Islamske Kultursenter i Drammen"	"1391"
"2010"	"971312459"	"Modum Pinsemenighet"	"83"
"2011"	"971312459"	"Modum Pinsemenighet"	"87"
"2012"	"971312459"	"Modum Pinsemenighet"	"86"
"2013"	"971312459"	"Modum Pinsemenighet"	"84"
"2014"	"971312459"	"Modum Pinsemenighet"	"90"
"2015"	"971312459"	"Modum Pinsemenighet"	"88"
"2016"	"971312459"	"Modum Pinsemenighet"	"78"
"2017"	"971312459"	"Modum Pinsemenighet"	"76"
"2010"	"971313013"	"Pinsemenigheten Saron"	"62"
"2011"	"971313013"	"Pinsemenigheten Saron"	"60"
"2012"	"971313013"	"Pinsemenigheten Saron"	"58"
"2013"	"971313013"	"Pinsemenigheten Saron"	"58"
"2014"	"971313013"	"Pinsemenigheten Saron"	"59"
"2015"	"971313013"	"Pinsemenigheten Saron"	"55"
"2016"	"971313013"	"Pinsemenigheten Saron"	"50"
"2017"	"971313013"	"Pinsemenigheten Saron, Hokksund"	"51"
"2010"	"971313471"	"Pinsemenigheten Betania"	"338"
"2011"	"971313471"	"Pinsemenigheten Betania"	"328"
"2012"	"971313471"	"Pinsemenigheten Betania"	"330"
"2013"	"971313471"	"Pinsemenigheten Betania"	"317"
"2014"	"971313471"	"Pinsemenigheten Betania"	"309"
"2015"	"971313471"	"Pinsemenigheten Betania"	"311"
"2016"	"971313471"	"Pinsekirken Mjøndalen"	"306"
"2017"	"971313471"		"—"
"2010"	"971314966"	"Hurum Pinsemenighet, Klippen"	"48"
"2011"	"971314966"	"Hurum Pinsemenighet, Klippen"	"45"
"2012"	"971314966"	"Hurum Pinsemenighet, Klippen"	"44"
"2013"	"971314966"	"Hurum Pinsemenighet, Klippen"	"44"
"2014"	"971314966"		"—"
"2015"	"971314966"		"—"
"2016"	"971314966"	"Hurum Pinsemenighet, Klippen"	"40"
"2017"	"971314966"	"Hurum Pinsemenighet, Klippen"	"39"
"2010"	"971316454"	"Elihumenigheten Vestfold"	"266"
"2011"	"971316454"	"Elihumenigheten Vestfold"	"269"
"2012"	"971316454"	"Elihumenigheten Vestfold"	"253"
"2013"	"971316454"	"Elihumenigheten Vestfold"	"255"
"2014"	"971316454"	"Elihumenigheten Vestfold"	"267"
"2015"	"971316454"	"Elihumenigheten Vestfold"	"267"
"2016"	"971316454"	"Elihumenigheten Vestfold"	"272"
"2017"	"971316454"	"Elihumenigheten Vestfold"	"264"
"2010"	"971318643"	"World Outreach Mission Evangeliet Til de Unådde"	"20"
"2011"	"971318643"	"World Outreach Mission Evangeliet Til de Unådde"	"33"
"2012"	"971318643"	"World Outreach Mission Evangeliet Til de Unådde"	"53"
"2013"	"971318643"	"World Outreach Mission Evangeliet Til de Unådde"	"56"
"2014"	"971318643"	"World Outreach Mission Evangeliet Til de Unådde"	"62"
"2015"	"971318643"	"World Outreach Mission Evangeliet Til de Unådde"	"50"
"2016"	"971318643"	"World Outreach Mission Evangeliet Til de Unådde"	"49"
"2017"	"971318643"	"World Outreach Mission Evangeliet Til de Unådde"	"31"
"2010"	"971321733"	"Lardal Pinsemenighet"	"20"
"2011"	"971321733"	"Lardal Pinsemenighet"	"23"
"2012"	"971321733"	"Lardal Pinsemenighet"	"28"
"2013"	"971321733"	"Lardal Pinsemenighet"	"37"
"2014"	"971321733"	"Lardal Pinsemenighet"	"33"
"2015"	"971321733"	"Lardal Pinsemenighet"	"34"
"2016"	"971321733"	"Lardal Pinsemenighet"	"33"
"2017"	"971321733"	"Lardal Pinsemenighet"	"34"
"2010"	"971322136"	"Pinsemenigheten Betania Stathelle"	"270"
"2011"	"971322136"	"Pinsemenigheten Betania Stathelle"	"267"
"2012"	"971322136"	"Pinsemenigheten Betania Stathelle"	"260"
"2013"	"971322136"	"Pinsemenigheten Betania Stathelle"	"249"
"2014"	"971322136"	"Pinsemenigheten Betania Stathelle"	"245"
"2015"	"971322136"	"Pinsemenigheten Betania Stathelle"	"252"
"2016"	"971322136"	"Pinsemenigheten Betania Stathelle"	"246"
"2017"	"971322136"	"Pinsemenigheten Betania Stathelle"	"250"
"2010"	"971325488"	"Filadelfiamenigheten"	"84"
"2011"	"971325488"	"Filadelfiamenigheten"	"81"
"2012"	"971325488"	"Filadelfiamenigheten"	"89"
"2013"	"971325488"	"Filadelfiamenigheten"	"83"
"2014"	"971325488"		"—"
"2015"	"971325488"		"—"
"2016"	"971325488"		"—"
"2017"	"971325488"		"—"
"2010"	"971325844"	"Bø Pinsemenighet"	"185"
"2011"	"971325844"	"Bø Pinsemenighet"	"177"
"2012"	"971325844"	"Bø Pinsemenighet"	"173"
"2013"	"971325844"	"Bø Pinsemenighet"	"173"
"2014"	"971325844"	"Bø Pinsemenighet"	"168"
"2015"	"971325844"	"Bø Pinsemenighet"	"179"
"2016"	"971325844"	"Bø Pinsemenighet"	"189"
"2017"	"971325844"	"Bø Pinsemenighet"	"185"
"2010"	"971326719"	"Betel Seljord"	"59"
"2011"	"971326719"	"Betel Seljord"	"56"
"2012"	"971326719"	"Betel Seljord"	"56"
"2013"	"971326719"	"Betel Seljord"	"54"
"2014"	"971326719"	"Betel Seljord"	"53"
"2015"	"971326719"	"Betel Seljord"	"51"
"2016"	"971326719"	"Betel Seljord"	"48"
"2017"	"971326719"	"Betel Seljord"	"48"
"2010"	"971326980"	"Filadelfia Pinsemenighet"	"38"
"2011"	"971326980"	"Filadelfia Pinsemenighet"	"26"
"2012"	"971326980"	"Filadelfia Pinsemenighet"	"25"
"2013"	"971326980"	"Filadelfia Pinsemenighet"	"24"
"2014"	"971326980"	"Filadelfia Pinsemenighet"	"23"
"2015"	"971326980"	"Filadelfia Pinsemenighet"	"25"
"2016"	"971326980"	"Filadelfia Pinsemenighet"	"23"
"2017"	"971326980"	"Filadelfia Pinsemenighet"	"23"
"2010"	"971328614"	"Filadelfiamenigheten Eydehavn"	"254"
"2011"	"971328614"	"Filadelfiamenigheten Eydehavn"	"259"
"2012"	"971328614"	"Filadelfiamenigheten Eydehavn"	"256"
"2013"	"971328614"	"Filadelfiamenigheten Eydehavn"	"257"
"2014"	"971328614"	"Filadelfiamenigheten Eydehavn"	"254"
"2015"	"971328614"	"Filadelfiamenigheten Eydehavn"	"252"
"2016"	"971328614"	"Filadelfiamenigheten Eydehavn"	"253"
"2017"	"971328614"	"Filadelfiamenigheten Eydehavn"	"243"
"2010"	"971329068"	"Sørlandskirken"	"377"
"2011"	"971329068"	"Sørlandskirken"	"351"
"2012"	"971329068"	"Sørlandskirken"	"360"
"2013"	"971329068"	"Sørlandskirken"	"355"
"2014"	"971329068"	"Sørlandskirken"	"342"
"2015"	"971329068"	"Sørlandskirken"	"333"
"2016"	"971329068"	"Sørlandskirken"	"319"
"2017"	"971329068"	"Sørlandskirken"	"320"
"2010"	"971329734"	"Filadelfiamenigheten Tvedestrand"	"85"
"2011"	"971329734"	"Filadelfiamenigheten Tvedestrand"	"77"
"2012"	"971329734"	"Filadelfiamenigheten Tvedestrand"	"77"
"2013"	"971329734"	"Filadelfiamenigheten Tvedestrand"	"78"
"2014"	"971329734"	"Filadelfiamenigheten Tvedestrand"	"73"
"2015"	"971329734"	"Filadelfiamenigheten Tvedestrand"	"73"
"2016"	"971329734"	"Filadelfiamenigheten Tvedestrand"	"66"
"2017"	"971329734"	"Filadelfiamenigheten Tvedestrand"	"74"
"2010"	"971335882"	"Betel Svennevik"	"108"
"2011"	"971335882"	"Betel Svennevik"	"106"
"2012"	"971335882"		"—"
"2013"	"971335882"		"—"
"2014"	"971335882"		"—"
"2015"	"971335882"		"—"
"2016"	"971335882"		"—"
"2017"	"971335882"		"—"
"2010"	"971335890"	"Den Frie Evangeliske Forsamling Betania Spangereid"	"125"
"2011"	"971335890"	"Den Frie Evangeliske Forsamling Betania Spangereid"	"125"
"2012"	"971335890"	"Den Frie Evangeliske Forsamling Betania Spangereid"	"127"
"2013"	"971335890"	"Den Frie Evangeliske Forsamling Betania Spangereid"	"124"
"2014"	"971335890"	"Den Frie Evangeliske Forsamling Betania Spangereid"	"130"
"2015"	"971335890"	"Den Frie Evangeliske Forsamling Betania Spangereid"	"121"
"2016"	"971335890"	"Den Frie Evangeliske Forsamling Betania Spangereid"	"119"
"2017"	"971335890"	"Den Frie Evangeliske Forsamling Betania Spangereid"	"113"
"2010"	"971337028"	"Menigheten Samfundet Egersund"	"507"
"2011"	"971337028"	"Menigheten Samfundet Egersund"	"489"
"2012"	"971337028"	"Menigheten Samfundet Egersund"	"462"
"2013"	"971337028"	"Menigheten Samfundet Egersund"	"459"
"2014"	"971337028"	"Menigheten Samfundet Egersund"	"445"
"2015"	"971337028"	"Menigheten Samfundet Egersund"	"444"
"2016"	"971337028"	"Menigheten Samfundet Egersund"	"428"
"2017"	"971337028"	"Menigheten Samfundet Egersund"	"422"
"2010"	"971337435"	"Pinsemenigheten Betel"	"261"
"2011"	"971337435"	"Pinsemenigheten Betel"	"277"
"2012"	"971337435"	"Pinsemenigheten Betel"	"287"
"2013"	"971337435"	"Pinsemenigheten Betel"	"306"
"2014"	"971337435"	"Pinsemenigheten Betel"	"299"
"2015"	"971337435"	"Pinsemenigheten Betel"	"302"
"2016"	"971337435"	"Pinsemenigheten Betel"	"310"
"2017"	"971337435"	"Pinsemenigheten Betel"	"325"
"2010"	"971338946"	"Pinsekirken 4U"	"74"
"2011"	"971338946"		"—"
"2012"	"971338946"		"—"
"2013"	"971338946"		"—"
"2014"	"971338946"		"—"
"2015"	"971338946"	"Intro"	"543"
"2016"	"971338946"	"Intro"	"650"
"2017"	"971338946"	"Intro"	"852"
"2010"	"971339012"	"Stiftelsen Kristen Tjeneste"	"215"
"2011"	"971339012"	"Stiftelsen Kristen Tjeneste"	"209"
"2012"	"971339012"	"Stiftelsen Kristen Tjeneste"	"202"
"2013"	"971339012"	"Stiftelsen Kristen Tjeneste"	"202"
"2014"	"971339012"	"Stiftelsen Kristen Tjeneste"	"209"
"2015"	"971339012"	"Stiftelsen Kristen Tjeneste"	"206"
"2016"	"971339012"	"Stiftelsen Kristen Tjeneste"	"211"
"2017"	"971339012"	"Stiftelsen Kristen Tjeneste"	"227"
"2010"	"971339101"	"Anjuman Islahul Muslemeen Of Rogaland"	"354"
"2011"	"971339101"	"Anjuman Islahul Muslemeen Of Rogaland"	"366"
"2012"	"971339101"	"Anjuman Islahul Muslemeen Of Rogaland"	"373"
"2013"	"971339101"	"Anjuman Islahul Muslemeen Of Rogaland"	"402"
"2014"	"971339101"	"Anjuman Islahul Muslemeen Of Rogaland"	"406"
"2015"	"971339101"	"Anjuman Islahul Muslemeen Of Rogaland"	"356"
"2016"	"971339101"	"Anjuman Islahul Muslemeen Of Rogaland"	"349"
"2017"	"971339101"	"Anjuman Islahul Muslemeen Of Rogaland"	"338"
"2010"	"971344016"	"Pinsemenigheten Zion"	"164"
"2011"	"971344016"	"Pinsemenigheten Zion"	"167"
"2012"	"971344016"	"Pinsemenigheten Zion"	"160"
"2013"	"971344016"	"Pinsemenigheten Zion"	"157"
"2014"	"971344016"	"Pinsemenigheten Zion"	"150"
"2015"	"971344016"	"Pinsemenigheten Zion"	"148"
"2016"	"971344016"	"Pinsemenigheten Zion"	"148"
"2017"	"971344016"	"Pinsemenigheten Zion"	"147"
"2010"	"971344865"	"Pinsekirken Sola"	"10"
"2011"	"971344865"	"Pinsekirken Sola"	"10"
"2012"	"971344865"	"Pinsekirken Sola"	"4"
"2013"	"971344865"	"Pinsekirken Sola"	"4"
"2014"	"971344865"	"Pinsekirken Sola"	"4"
"2015"	"971344865"		"—"
"2016"	"971344865"	"Pinsekirken Sola"	"4"
"2017"	"971344865"		"—"
"2010"	"971345934"	"Pinsemenigheten Salem"	"92"
"2011"	"971345934"	"Pinsemenigheten Salem"	"89"
"2012"	"971345934"	"Pinsemenigheten Salem"	"91"
"2013"	"971345934"	"Pinsemenigheten Salem"	"86"
"2014"	"971345934"	"Pinsemenigheten Salem"	"85"
"2015"	"971345934"	"Pinsemenigheten Salem"	"79"
"2016"	"971345934"	"Pinsemenigheten Salem"	"76"
"2017"	"971345934"	"Pinsemenigheten Salem"	"77"
"2010"	"971348186"	"Kristent Fellesskap i Bergen"	"616"
"2011"	"971348186"	"Kristent Fellesskap i Bergen"	"605"
"2012"	"971348186"	"Kristent Fellesskap i Bergen"	"586"
"2013"	"971348186"	"Kristent Fellesskap i Bergen"	"567"
"2014"	"971348186"	"Kristent Fellesskap i Bergen"	"559"
"2015"	"971348186"	"Kristent Fellesskap i Bergen"	"536"
"2016"	"971348186"	"Kristent Fellesskap i Bergen"	"521"
"2017"	"971348186"	"Kristent Fellesskap i Bergen"	"495"
"2010"	"971352272"	"Menigheten Sion Blomsterdalen"	"115"
"2011"	"971352272"	"Menigheten Sion Blomsterdalen"	"117"
"2012"	"971352272"	"Menigheten Sion Blomsterdalen"	"114"
"2013"	"971352272"	"Menigheten Sion Blomsterdalen"	"110"
"2014"	"971352272"	"Menigheten Sion Blomsterdalen"	"108"
"2015"	"971352272"	"Menigheten Sion Blomsterdalen"	"108"
"2016"	"971352272"	"Menigheten Sion Blomsterdalen"	"110"
"2017"	"971352272"	"Menigheten Sion Blomsterdalen"	"106"
"2010"	"971353503"	"Kristkirken i Bergen"	"499"
"2011"	"971353503"	"Kristkirken i Bergen"	"487"
"2012"	"971353503"	"Kristkirken i Bergen"	"490"
"2013"	"971353503"	"Kristkirken i Bergen"	"507"
"2014"	"971353503"	"Kristkirken i Bergen"	"499"
"2015"	"971353503"	"Kristkirken i Bergen"	"498"
"2016"	"971353503"	"Kristkirken i Bergen"	"504"
"2017"	"971353503"	"Kristkirken i Bergen"	"492"
"2010"	"971359862"	"Pinsemenigheten Saron Sotra"	"76"
"2011"	"971359862"	"Pinsemenigheten Saron Sotra"	"74"
"2012"	"971359862"	"Pinsemenigheten Saron Sotra"	"74"
"2013"	"971359862"	"Pinsemenigheten Saron Sotra"	"73"
"2014"	"971359862"	"Pinsemenigheten Saron Sotra"	"71"
"2015"	"971359862"	"Pinsemenigheten Saron Sotra"	"73"
"2016"	"971359862"	"Pinsemenigheten Saron Sotra"	"78"
"2017"	"971359862"	"Pinsemenigheten Saron Sotra"	"82"
"2010"	"971361085"	"Menigheten Betania"	"174"
"2011"	"971361085"	"Menigheten Betania"	"168"
"2012"	"971361085"	"Menigheten Betania"	"168"
"2013"	"971361085"	"Pinsemenigheten Betania Knarvik"	"169"
"2014"	"971361085"	"Pinsemenigheten Betania Knarvik"	"166"
"2015"	"971361085"	"Pinsemenigheten Betania Knarvik"	"177"
"2016"	"971361085"	"Pinsemenigheten Betania Knarvik"	"176"
"2017"	"971361085"	"Pinsemenigheten Betania Knarvik"	"168"
"2010"	"971361913"	"Pinsekirka Filadelfia"	"60"
"2011"	"971361913"	"Pinsekirka Filadelfia"	"59"
"2012"	"971361913"	"Pinsekirka Filadelfia"	"53"
"2013"	"971361913"	"Pinsekirka Filadelfia"	"54"
"2014"	"971361913"	"Pinsekirka Filadelfia"	"57"
"2015"	"971361913"	"Familiekirken i Florø"	"45"
"2016"	"971361913"	"Familiekirken i Florø"	"39"
"2017"	"971361913"		"—"
"2010"	"971367156"	"Menigheten Troens Fellesskap"	"59"
"2011"	"971367156"	"Menigheten Troens Fellesskap"	"60"
"2012"	"971367156"	"Menigheten Troens Fellesskap"	"56"
"2013"	"971367156"	"Menigheten Troens Fellesskap"	"52"
"2014"	"971367156"	"Menigheten Troens Fellesskap"	"51"
"2015"	"971367156"	"Menigheten Troens Fellesskap"	"46"
"2016"	"971367156"	"Menigheten Troens Fellesskap"	"46"
"2017"	"971367156"	"Menigheten Troens Fellesskap"	"42"
"2010"	"971368810"		"—"
"2011"	"971368810"		"—"
"2012"	"971368810"		"—"
"2013"	"971368810"		"—"
"2014"	"971368810"		"—"
"2015"	"971368810"	"Pinsekirka Sion Ellingsøy"	"102"
"2016"	"971368810"	"Pinsekirka Sion Ellingsøy"	"100"
"2017"	"971368810"	"Pinsekirka Sion Ellingsøy"	"93"
"2010"	"971370017"	"Pinsemenigheten Sion"	"158"
"2011"	"971370017"	"Pinsemenigheten Sion"	"155"
"2012"	"971370017"	"Pinsemenigheten Sion"	"152"
"2013"	"971370017"	"Pinsemenigheten Sion"	"158"
"2014"	"971370017"	"Pinsemenigheten Sion"	"167"
"2015"	"971370017"	"Pinsemenigheten Sion"	"163"
"2016"	"971370017"	"Pinsemenigheten Sion"	"140"
"2017"	"971370017"	"Pinsemenigheten Sion"	"123"
"2010"	"971371129"	"Pinsekyrkja Eben-Eser"	"314"
"2011"	"971371129"	"Pinsekyrkja Eben-Eser"	"314"
"2012"	"971371129"	"Pinsekyrkja Eben-Eser"	"307"
"2013"	"971371129"	"Pinsekyrkja Eben-Eser"	"308"
"2014"	"971371129"	"Pinsekyrkja Eben-Eser"	"308"
"2015"	"971371129"	"Pinsekyrkja i Volda"	"304"
"2016"	"971371129"	"Pinsekyrkja i Volda"	"299"
"2017"	"971371129"	"Pinsekyrkja i Volda"	"303"
"2010"	"971371161"	"Den Frie Evangeliske Forsamling Betel"	"56"
"2011"	"971371161"	"Den Frie Evangeliske Forsamling Betel"	"53"
"2012"	"971371161"	"Den Frie Evangeliske Forsamling Betel"	"48"
"2013"	"971371161"	"Den Frie Evangeliske Forsamling Betel"	"47"
"2014"	"971371161"	"Den Frie Evangeliske Forsamling Betel"	"45"
"2015"	"971371161"	"Den Frie Evangeliske Forsamling Betel"	"43"
"2016"	"971371161"	"Den Frie Evangeliske Forsamling Betel"	"42"
"2017"	"971371161"	"Den Frie Evangeliske Forsamling Betel"	"44"
"2010"	"971376678"	"Det Muslimske Samfunnet i Trondheim The Muslim Society in Trondheim"	"1225"
"2011"	"971376678"	"Det Muslimske Samfunnet i Trondheim The Muslim Society in Trondheim"	"1321"
"2012"	"971376678"	"Det Muslimske Samfunnet i Trondheim The Muslim Society in Trondheim"	"1206"
"2013"	"971376678"	"Det Muslimske Samfunnet i Trondheim The Muslim Society in Trondheim"	"1484"
"2014"	"971376678"	"Det Muslimske Samfunnet i Trondheim The Muslim Society in Trondheim"	"1415"
"2015"	"971376678"	"Det Muslimske Samfunnet i Trondheim The Muslim Society in Trondheim"	"1562"
"2016"	"971376678"	"Det Muslimske Samfunnet i Trondheim The Muslim Society in Trondheim"	"1591"
"2017"	"971376678"	"Det Muslimske Samfunnet i Trondheim The Muslim Society in Trondheim"	"1811"
"2010"	"971378719"	"Pinsekirken"	"133"
"2011"	"971378719"	"Pinsekirken"	"134"
"2012"	"971378719"	"Pinsekirken"	"129"
"2013"	"971378719"	"Pinsekirken"	"137"
"2014"	"971378719"	"Pinsekirken"	"126"
"2015"	"971378719"	"Pinsekirken"	"118"
"2016"	"971378719"	"Pinsekirken"	"128"
"2017"	"971378719"	"Pinsekirken"	"121"
"2010"	"971381779"	"Oppdal Kristne Senter"	"235"
"2011"	"971381779"	"Oppdal Kristne Senter"	"231"
"2012"	"971381779"	"Oppdal Kristne Senter"	"237"
"2013"	"971381779"	"Oppdal Kristne Senter"	"238"
"2014"	"971381779"	"Oppdal Kristne Senter"	"235"
"2015"	"971381779"	"Oppdal Kristne Senter"	"233"
"2016"	"971381779"	"Oppdal Kristne Senter"	"232"
"2017"	"971381779"	"Oppdal Kristne Senter"	"236"
"2010"	"971387378"	"Elihu-Menigheten"	"168"
"2011"	"971387378"	"Elihu-Menigheten"	"182"
"2012"	"971387378"	"Elihu-Menigheten"	"181"
"2013"	"971387378"	"Elihu-Menigheten"	"185"
"2014"	"971387378"	"Elihu-Menigheten"	"175"
"2015"	"971387378"	"Elihu-Menigheten"	"170"
"2016"	"971387378"	"Elihu-Menigheten"	"167"
"2017"	"971387378"	"Elihu-Menigheten"	"165"
"2010"	"971387769"	"Pinsemenigheten Sion Verdal"	"34"
"2011"	"971387769"	"Pinsemenigheten Sion Verdal"	"32"
